ds,y
2020-09-27,1
2023-01-05,1
2023-04-23,1
2023-05-01,1
2023-10-01,1
2024-01-01,1
2024-01-04,1
2024-01-08,1
2024-01-16,1
2024-01-26,3
2024-01-29,1
2024-02-05,1
2024-02-19,1
2024-02-21,1
2024-03-04,2
2024-03-05,1
2024-03-10,1
2024-03-14,1
2024-03-17,1
2024-03-18,1
2024-03-20,1
2024-03-23,2
2024-03-25,1
2024-03-28,1
2024-03-29,1
2024-04-04,2
2024-04-06,1
2024-04-09,1
2024-04-15,2
2024-04-18,1
2024-04-22,1
2024-04-23,2
2024-05-01,1
2024-05-02,1
2024-05-04,1
2024-05-06,1
2024-05-07,1
2024-05-08,1
2024-05-14,1
2024-05-16,1
2024-05-17,1
2024-05-19,1
2024-05-20,2
2024-05-21,1
2024-05-23,1
2024-05-24,1
2024-05-27,1
2024-05-28,1
2024-05-29,1
2024-05-30,2
2024-05-31,1
2024-06-01,2
2024-06-03,2
2024-06-04,1
2024-06-05,3
2024-06-07,1
2024-06-09,2
2024-06-11,2
2024-06-12,1
2024-06-13,1
2024-06-15,3
2024-06-17,2
2024-06-18,1
2024-06-19,1
2024-06-20,1
2024-06-21,2
2024-06-22,2
2024-06-24,2
2024-06-25,2
2024-06-26,1
2024-07-01,2
2024-07-02,1
2024-07-03,2
2024-07-04,1
2024-07-05,3
2024-07-06,1
2024-07-08,1
2024-07-11,1
2024-07-12,1
2024-07-20,1
2024-07-25,1
2024-07-26,3
2024-07-27,3
2024-07-28,1
2024-07-30,2
2024-08-02,4
2024-08-03,4
2024-08-04,1
2024-08-05,1
2024-08-06,1
2024-08-07,2
2024-08-09,4
2024-08-10,2
2024-08-11,3
2024-08-13,1
2024-08-14,3
2024-08-15,1
2024-08-16,2
2024-08-17,6
2024-08-18,3
2024-08-21,3
2024-08-22,1
2024-08-23,3
2024-08-24,6
2024-08-25,5
2024-08-26,1
2024-08-27,1
2024-08-28,3
2024-08-29,1
2024-08-30,1
2024-08-31,4
2024-09-01,4
2024-09-02,6
2024-09-03,3
2024-09-04,7
2024-09-05,1
2024-09-06,8
2024-09-07,1
2024-09-08,6
2024-09-09,8
2024-09-10,2
2024-09-11,2
2024-09-12,5
2024-09-13,15
2024-09-14,21
2024-09-15,10
2024-09-16,14
2024-09-17,9
2024-09-18,42
2024-09-19,120
2024-09-20,243
2024-09-21,629
2024-09-22,559
2024-09-23,36
2024-09-24,23
2024-09-25,44
2024-09-26,73
2024-09-27,120
2024-09-28,395
2024-09-29,301
2024-09-30,11
2024-10-01,18
2024-10-02,19
2024-10-03,36
2024-10-04,82
2024-10-05,243
2024-10-06,133
2024-10-07,6
2024-10-08,12
2024-10-09,19
2024-10-10,44
2024-10-11,125
2024-10-12,279
2024-10-13,225
2024-10-14,15
2024-10-15,18
2024-10-16,59
2024-10-17,101
2024-10-18,203
2024-10-19,631
2024-10-20,518
2024-10-21,36
2024-10-22,37
2024-10-23,45
2024-10-24,111
2024-10-25,256
2024-10-26,675
2024-10-27,467
2024-10-28,17
2024-10-29,21
2024-10-30,33
2024-10-31,92
2024-11-01,185
2024-11-02,365
2024-11-03,202
2024-11-04,9
2024-11-05,13
2024-11-06,21
2024-11-07,36
2024-11-08,117
2024-11-09,342
2024-11-10,253
2024-11-11,9
2024-11-12,12
2024-11-13,12
2024-11-14,38
2024-11-15,136
2024-11-16,164
2024-11-17,129
2024-11-18,5
2024-11-19,19
2024-11-20,44
2024-11-21,22
2024-11-22,51
2024-11-23,151
2024-11-24,108
2024-11-25,5
2024-11-26,7
2024-11-27,7
2024-11-28,13
2024-11-29,39
2024-11-30,100
2024-12-01,59
2024-12-02,2
2024-12-03,2
2024-12-04,6
2024-12-05,12
2024-12-06,23
2024-12-07,72
2024-12-08,52
2024-12-09,1
2024-12-10,3
2024-12-11,2
2024-12-12,6
2024-12-13,17
2024-12-14,60
2024-12-15,40
2024-12-16,1
2024-12-17,2
2024-12-18,1
2024-12-19,5
2024-12-20,6
2024-12-21,25
2024-12-22,15
2024-12-23,2
2024-12-24,11
2024-12-25,13
2024-12-26,4
2024-12-27,7
2024-12-28,24
2024-12-29,25
2024-12-30,18
2024-12-31,74
2025-01-01,146
2025-01-02,3
2025-01-03,3
2025-01-04,10
2025-01-05,3
2025-01-07,1
2025-01-10,1
2025-01-11,3
2025-01-12,6
2025-01-14,1
2025-01-16,2
2025-01-17,1
2025-01-18,8
2025-01-19,10
2025-01-21,1
2025-01-22,1
2025-01-25,4
2025-01-26,1
2025-01-27,1
2025-01-29,1
2025-02-01,2
2025-02-02,1
2025-02-07,1
2025-02-08,9
2025-02-09,5
2025-02-10,1
2025-02-12,1
2025-02-15,5
2025-02-16,3
2025-02-21,3
2025-02-22,3
2025-02-23,3
2025-02-28,4
2025-03-01,10
2025-03-02,4
2025-03-04,3
2025-03-05,1
2025-03-06,3
2025-03-09,2
2025-03-13,1
2025-03-14,1
2025-03-15,1
2025-03-21,1
2025-03-22,2
2025-03-23,3
2025-03-24,1
2025-03-25,1
